Sample No.,TL (mm),Weight (g),Species,Geimsa Result,Infected RBC,Uninfected RBC,Total RBC,Average RBC per slide,# WBCS,Infected cell per RBC load,counted by,dates counted,notes-infected-cells,Sample collection Date,,,,,,,,
11,82,9,STAD,Infected,0,2541,2541,50.8,356,0,jB,"2/21,22",no parasites in 50+ images,"8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
13,75,8,STAD,Infected,1,4740,4741,94.8,124,0.000210926,jB,22-Feb,"image 038, ","8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
3,75,7,STAD,Infected,0,1558,1558,31.2,29,0,jB,11-May,no parasites in 50+ images,"8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
4,67,5,STAD,Infected,4,2918,2922,58.4,29,0.001368925,jB,11-May,"image 003, 012, 033, 046, infected cell in image 012 is really cool looking","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
5,80,8,STAD,Infected,1,3717,3718,74.4,52,0.000268962,jB,11-May,"image 035, ","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
8,82,9,STAD,Infected,2,2076,2078,41.6,52,0.000962464,jB,11-May,"image 013, 049, ","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
9,85,10,STAD,Infected,2,2270,2272,45.4,41,0.000880282,jB,13-May,"image 014, 018, ","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
10,79,9,STAD,Infected,0,2712,2712,54.2,11,0,jB,15-May,no parasites in 50+ images,"8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
12,70,6,STAD,Infected,0,1422,1422,28.4,52,0,jB,15-May,no parasites in 50+ images,"8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
1,80,11,STAD,Infected,0,5951,5951,119,73,0,jB,23-May,no parasites in 50+ images,"8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
3,80,11,STAD,Infected,2,5831,5833,117,37,0.000342877,jB,23-May,"image 235, 252, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
4,78,6,STAD,Infected,8,4089,4097,81.9,45,0.001952648,jB,23-May,"image 120, 126, 130, 143, 146, 147, 158, 161, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
5,81,11,STAD,Infected,8,3600,3608,72.2,24,0.002217295,jB,23-May,"image 167, 173, 190, 199, 205, 207, 212, 213, 220, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
6,73,7,STAD,Infected,5,3781,3786,75.7,28,0.001320655,jB,23-May,"image 058, 083, 084, 086, 095, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
7,65,5,STAD,Infected,5,6144,6149,123,78,0.00081314,jB,23-May,"image 016, 022, 032, 045, 049, 053, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
9,81,10,STAD,Infected,1,3584,3585,71.7,28,0.00027894,jB,24-May,"image 081, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
10,84,11,STAD,Infected,3,1418,1421,28.4,22,0.002111189,jB,24-May,"image 059, 083, 087, 111","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
11,85,12,STAD,Infected,3,572,575,11.5,4,0.005217391,jB,24-May,"image 062, 081, 085, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
12,79,8,STAD,Infected,1,5437,5438,109,43,0.000183891,jB,25-May,"image 030, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
13,61,5,STAD,Infected,0,6792,6792,136,99,0,jB,25-May," one in image 002_7-8-19, maybe in image 15_7-8, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
14,96,7,STAD,Infected,0,4158,4158,83.2,9,0,jB,25-May,one maybe in Image 49,"8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
